name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,avg_stats
Howard The Duck,Howard,Howard,Good,Marvel Comics,90,10,40,40,100,90,62
Hugo Strange,Professor Hugo Strange,Professor Hugo Strange,Bad,DC Comics,100,15,35,45,75,85,59
Hulk (2003),Bruce Banner,,,Marvel Comics,95,100,60,80,100,90,88
Hulk 2099,John Eisenhart,,,Marvel Comics,95,100,70,80,100,60,84
Human Target,Christopher Chance,,Good,DC Comics,100,15,30,50,50,95,57
Hulk Earth-5901,Bruce Banner,Bruce Banner,Good,Marvel Comics,75,100,90,100,100,75,90
Hulk (Stark Gauntlet) (MCU),Bruce Banner,,Good,Marvel Comics,100,100,80,100,100,90,95
Hulk,Bruce Banner,Robert Bruce Banner,Good,Marvel Comics,60,100,85,100,100,85,88
Hulkling,Dorrek VIII,Dorrek VIII,Good,Marvel Comics,90,80,60,60,100,70,77
Human Torch (FOX),Jonathan Storm,Jonathan Storm,Good,Marvel Comics,75,15,75,50,100,65,63
Human Torch II,Jim Hammond,Jim Hammond,Good,Marvel Comics,90,15,35,60,55,45,50
Huntress (CW),Helena Bertinelli,,Good,DC Comics,90,10,45,30,20,100,49
Huntress (Injustice),Helena Rosa Bertinelli,Helena Rosa Bertinelli,Good,DC Comics,85,15,50,50,35,100,56
Hush,Thomas Elliot,Thomas Elliot,Bad,DC Comics,95,10,25,40,25,80,46
Indiana Jones,Indiana Jones,Henry Walton Jones Jr.,Good,George Lucas,85,10,15,30,20,30,32
Hybrid,Scott Washington,,Good,Marvel Comics,80,65,60,75,100,80,77
Hydro-Man,Morris Bench,Morris Bench,Bad,Marvel Comics,70,15,25,80,65,50,51
Iceman (FOX),Bobby Drake,,Good,Marvel Comics,80,35,50,60,70,65,60
Iceman,Bobby Drake,Robert Louis Drake,Good,Marvel Comics,80,30,55,100,100,65,72
Icon,Arnus,Augustus Freeman,Good,DC Comics,95,100,100,100,100,90,98
Immortal Hulk,Bruce Banner,Robert Bruce Banner,Neutral,Marvel Comics,90,100,90,100,100,85,94
Imperiex,Imperiex,,Bad,DC Comics,90,100,95,100,100,85,95
Impossible Man,,,Neutral,Marvel Comics,85,100,95,100,100,75,93
Incredible Hulk (Universal),Bruce Banner,,Good,Marvel Comics,95,100,75,100,100,85,93
Incubus (DCEU),Incubus,Incubus,Bad,,65,80,50,95,100,80,78
Indigo,Iroque,,Neutral,DC Comics,90,65,50,50,100,50,68
Infernal Hulk,Bruce Banner,Robert Bruce Banner,Bad,Marvel Comics,75,100,100,100,100,75,92
Infinity Man,,,Good,DC Comics,100,100,100,100,100,80,97
Ink,Eric Gitter,Eric Gitter,Good,Marvel Comics,70,30,15,40,75,50,47
Ino Yamanaka,,,Good,Shueisha,80,10,35,40,100,85,58
Invincible,Markus Sebastian Grayson,Markus Sebastian Grayson,Good,Image Comics,85,100,100,95,100,80,93
Invisible Woman (FOX),Susan Storm,Susan Richards,Good,Marvel Comics,100,20,75,85,100,80,77
Iron Baron,Unknown,Unknown,Bad,,100,10,40,50,100,50,58
Iron Destroyer,Tony Stark,Anthony Edward Stark,Good,Marvel Comics,100,100,85,100,100,85,95
Iron Fist (MCU),Danny Rand,Daniel Thomas Rand-K'ai,Good,Marvel Comics,70,35,60,45,55,100,61
Iron Fist,Danny Rand,Daniel Thomas Rand-K'ai,Good,Marvel Comics,90,55,35,50,95,100,71
Iron Man (MCU),Tony Stark,Anthony Edward Stark,Good,Marvel Comics,100,80,55,80,90,70,79
Iron Man (Model 45),Tony Stark,Anthony Edward Stark,Good,George Lucas,100,85,70,65,100,70,82
Iron Man (Sorceror Supreme),Doctor Anthony Stark,Anthony Edward Tony Stark,Good,Marvel Comics,100,85,70,100,100,65,87
Iron Man (Thorbuster),Tony Stark,,,Marvel Comics,100,100,85,100,100,75,93
Iron Man (Wild West),Tony Stark,Anthony 'Tony' Stark,Good,Marvel Comics,100,60,60,65,50,55,65
Iron Man,Tony Stark,Anthony Edward Stark,Good,Marvel Comics,100,85,70,60,100,60,79
Iron Monger (MCU),Obadiah Stane,,Bad,Marvel Comics,100,65,70,70,55,80,73
Iron Monger,Obadiah Stane,Obadiah Stane,Bad,Marvel Comics,95,65,25,90,55,55,64
IT,Pennywise the Dancing Clown,,Bad,Stephen King,90,50,45,80,100,50,69
Itachi Uchiha,Uchiha Itachi,Uchiha Itachi,Neutral,Shueisha,90,100,80,75,100,100,91
J. Jonah Jameson,"John Jonah Jameson, Jr.",,,Marvel Comics,95,10,10,10,5,5,23
Jack Bauer,Kiefer Sutherland,Kiefer Sutherland,Good,,0,0,0,0,0,0,0
Jack Frost,Jackson Overland Frost,,Good,Dreamworks,85,35,40,50,100,70,63
Jack-Jack,Jack-Jack Parr,Jac-jack Parr,Good,Dark Horse Comics,35,35,65,80,100,5,53
Jack Kirby,Jack Kirby,Jacob Kurtzberg,Good,,100,0,10,15,85,5,36
Jack of Hearts,Jonathan Hart,Jonathan Hart,Good,Marvel Comics,80,55,100,30,75,30,62
Jack Sparrow,Jack Sparrow,,Neutral,Disney,75,10,30,50,45,85,49
Jacob Frye,Jacob Frye,,Good,Ubisoft,90,10,40,35,65,100,57
Jaime Lannister,,,Good,George R. R. Martin,60,10,45,35,10,90,42
James Bond (Craig),James Bond,James Bond,Good,Ian Fleming,95,15,15,35,25,90,46
James Gordon,,James,Good,DC Comics,95,10,15,20,25,45,35
James T. Kirk,James T. Kirk,James Tiberius Kirk,Good,Star Trek,85,10,15,30,30,75,41
Jane Foster (MCU),Jane Foster,Jane Foster,Good,Marvel Comics,100,10,15,10,15,40,32
Jango Fett,,,Bad,George Lucas,90,10,80,50,50,100,63
Jar Jar Binks,Jar Jar Binks,,Good,George Lucas,60,5,35,10,20,15,24
Jerome Valeska,Jerome Valeska,Jerome Valeska,Bad,DC Comics,90,10,25,60,75,80,57
Jay (The LEGO Ninjago Movie),Jay Gordon,Jay Walker Gordon,Good,Lego,85,10,35,30,100,100,60
Jay,Jay Gordon,Jay Gordon,Good,,75,35,65,60,100,100,73
Jean Grey,Jean Grey,Jean Grey-Summers,Good,Marvel Comics,95,80,20,20,95,70,63
Jemma Simmons (MCU),Jemma Anne Simmons,Jemma Anne Simmons,Good,Marvel Comics,100,10,20,20,10,70,38
Jennifer Kale,Jennifer Kale,Jennifer Kale,Good,Marvel Comics,90,10,35,40,75,70,53
Jesse Custer,Jesse Custer,,Good,DC Comics,80,15,20,50,80,85,55
Jesse Quick (CW),Jesse Wells,Jesse Chambers Wells,Good,DC Comics,100,30,100,75,100,75,80
Jesse Quick,Jesse Chambers,Jessica Belle Chambers,Good,DC Comics,95,30,100,60,100,90,79
Jessica Jones,Jessica Campbell Jones Cage,Jessica Campbell Jones Cage,Good,Marvel Comics,80,45,50,70,20,55,53
Jestro,Jestro,Jestro,,,90,10,30,65,100,60,59
Jigsaw (MCU),Billy Russo,William Russo,Bad,Marvel Comics,85,15,35,45,45,90,53
Jim Powell,Jim Powell,Jim Powell,Good,ABC Studios,70,40,25,80,25,20,43
Jimmy Neutron,Jimmy Neutron,,Good,,100,10,40,50,100,80,63
Jiraiya,,,Good,Shueisha,95,90,60,85,100,100,88
John Wraith,John Wraith,John Wraith,Good,Marvel Comics,90,10,35,30,85,80,55
JJ Powell,JJ Powell ,JJ Powell ,Good,ABC Studios,95,10,10,10,15,10,25
Joe Wilson (CW),Joe Wilson,Joe Wilson,Bad,DC Comics,85,15,40,40,35,95,52
Johann Krauss,Johann Krauss,Johann Krauss,Good,Dark Horse Comics,85,20,70,60,100,50,64
John Constantine (Power Of Shazam),John Constantine,John Constantine,Good,DC Comics,100,100,100,100,100,75,96
John Constantine,John Constantine,John Constantine,Good,DC Comics,80,10,10,40,55,65,43
John Pilgrim (MCU),Robert Pilgrim,Robert Pilgrim,Neutral,Marvel Comics,85,15,35,45,40,90,52
Joker (Gotham),Jeremiah Valeska,,,DC Comics,100,10,15,60,50,70,51
Joker,Jack Napier,Jack Napier,Bad,DC Comics,100,10,10,60,45,70,49
Jolt,Helen Takahama,Helen Takahama,Good,Marvel Comics,80,10,25,30,30,40,36
Jonah Hex (CW),Jonah Hex,Jonah Hex,Good,DC Comics,85,15,30,35,40,80,48
Jonah Hex,,Jonah Woodson Hex,Good,DC Comics,70,15,30,40,40,85,47
Kid Flash,Wallace Rudolph West,Wallace Rudolph West,Good,DC Comics,65,5,90,40,20,30,42
Jor-El,Jor-El,,Good,DC Comics,100,10,15,10,15,30,30
Josiah Power,Josiah Power,Josiah Power,Good,DC Comics,0,0,0,0,0,0,0
Jubilee,Jubilation Lee,Jubilation Lee,Good,Marvel Comics,80,10,20,20,65,90,48
Juggernaut (FOX),Cain Marko,Cain Marko,Bad,Marvel Comics,65,50,70,85,100,85,76
Juggernaut,Cain Marko,Cain Marko,Neutral,Marvel Comics,70,100,65,100,100,75,85
Justice,Vance Astrovik,Vance Astrovik,Good,Marvel Comics,75,10,35,70,60,30,47
Justin Hammer,Justin Hammer,,Bad,Marvel Comics,100,10,15,10,10,15,27
Jyn Erso,Jyn Erso,,Good,George Lucas,0,0,0,0,0,0,0
K-2SO,,,Good,George Lucas,0,0,0,0,5,0,1
Kabuto Yakushi,Yakushi Kabuto,Yakushi Kabuto,Bad,Shueisha,85,100,85,80,100,100,92
Kilgrave (MCU),Kevin Thompson,Kevin Thompson,Bad,Marvel Comics,80,10,15,20,80,40,41
Kaecilius (MCU),Kaecilius,Kaecilius,Bad,Marvel Comics,85,20,50,55,100,100,68
Kaguya Ōtsutsuki,Ōtsutsuki Kaguya,Ōtsutsuki Kaguya,Bad,Shueisha,55,100,100,100,100,90,91
Kai (The LEGO Ninjago Movie),Kai,Kai,Good,Lego,85,10,60,55,85,100,66
Kakashi Hatake,Kakashi Hatake,,Good,Shueisha,95,15,85,60,100,100,76
King Shark,Nanaue,,Bad,DC Comics,75,90,50,90,85,40,72
Kale,Kale,Kale,Neutral,Shueisha,85,100,100,100,100,100,98
Kang,Nathaniel Richards,Nathaniel Richards,Bad,Marvel Comics,100,50,60,70,100,70,75
Kanto,Iluthin,Illuthin,Bad,DC Comics,90,60,65,90,100,100,84
Kapau,Kapau,Kapau,Bad,,85,10,15,10,25,45,32
Kapau'rai,Kapau,Kapau,Bad,,85,40,70,80,100,85,77
Karlof,Karlof,Karlof,Good,,90,30,35,50,100,70,63
Karnak (MCU),Karnak Mander-Azur,Karnak Mander-Azur,Good,Marvel Comics,95,15,45,55,55,100,61
Karnak,Karnak Mander-Azur,,,Marvel Comics,90,30,65,50,40,90,61
Katana (CW),Tatsu Yamashiro,Tatsu Yamashiro,Good,,70,10,45,35,40,100,50
Katana (DCEU),Tatsu Yamashiro,Tatsu Yamashiro,Good,DC Comics,70,10,50,40,55,100,54
Katana,Tatsu Yamashiro,,Good,DC Comics,80,10,50,40,60,95,56
Kathryn Janeway,Kathryn Janeway,Kathryn M. Janeway,Good,Star Trek,90,10,20,25,20,50,36
Kefla,Kale/Caulifla,Kale/Caulifla,Neutral,Shueisha,85,100,100,100,100,100,98
Kelex,,,Neutral,DC Comics,100,0,30,20,50,25,38
Kenshiro,Kenshiro,Kenshiro,Good,Shueisha,85,90,65,65,100,100,84
Kevin 11,Kevin Ethan Levin,Kevin Ethan Levin,Good,DC Comics,65,5,10,15,100,40,39
Klaw,Ulysses Klaw,Ulysses Klaw,Bad,Marvel Comics,80,40,35,100,60,60,63
KGBeast,Anatoli Knyazev,,Bad,DC Comics,70,20,30,50,65,95,55
Khanjikhan,Khanjikhan,Khanjikhan,Neutral,,100,100,65,100,100,75,90
Kick-Ass,Dave Lizewski,Dave Lizewski,Good,Icon Comics,70,10,25,35,20,55,36
Kid Colt,,,Neutral,Marvel Comics,90,10,20,15,15,65,36
Kid Flash (CW),Wally West,,Good,DC Comics,70,40,90,65,90,70,71
Kid Flash II,Bartholomew Allen II,Bartholomew Allen II,Good,DC Comics,90,30,100,60,100,75,76
Killer Bee,,,Good,Shueisha,75,95,70,95,100,100,89
Killer Croc (DCEU),Waylon Jones,,Bad,DC Comics,90,60,40,85,75,75,71
Killer Croc,Waylon Jones,Waylon Jones,Bad,DC Comics,60,55,35,90,55,60,59
Killer Frost (CW),Caitlin Snow,,Bad,DC Comics,70,15,65,35,30,55,45
Killer Frost,Caitlin Snow,,Bad,DC Comics,95,10,15,35,60,30,41
Knockout,,,Bad,DC Comics,90,80,60,100,100,100,88
Killian (MCU),Aldrich Killian,Aldrich Killian,Bad,Marvel Comics,100,50,60,70,80,90,75
Killmonger (MCU),Erik Stevens,"N''Jadaka (birth Name), Erik Stevens (legal Name)",Bad,Marvel Comics,85,60,60,80,80,95,77
Killow,Killow,Killow,Bad,,85,25,40,50,65,35,50
Kilowog,,,Good,DC Comics,90,90,55,40,100,80,76
King Shark (CW),Shay Lamden,Shay Lamden,Good,,80,85,70,95,100,75,84
King Thanos,Thanos,,Bad,Marvel Comics,100,100,80,100,100,95,96
Kingpin (MCU),Wilson Grant Fisk,,Neutral,Marvel Comics,80,20,50,65,20,60,49
Kingpin,Wilson Grant Fisk,Wilson Grant Fisk,Bad,Marvel Comics,90,20,25,40,15,70,43
Kisame,Kisame Hoshigaki,,Bad,Shueisha,85,95,75,95,100,100,92
Klaw (MCU),Ulysses Klaue,,Bad,Marvel Comics,85,15,40,40,35,70,48
Koko (The LEGO Ninjago Movie),Koko,Koko,Good,Lego,90,20,40,20,55,100,54
Kool-Aid Man,,,Good,,65,20,10,10,10,15,22
Korg (MCU),Korg,,Good,Marvel Comics,70,75,60,90,80,85,77
Kraglin (MCU),Kraglin Obfonteri,,Bad,Marvel Comics,90,10,30,25,30,70,43
Kratos,,,Good,Wildstorm,80,95,65,95,100,100,89
Kraven II,Alyosha Kravinoff,Alyosha Kravinoff,Bad,Marvel Comics,75,35,25,30,45,85,49
Kraven the Hunter,Sergei Kravinoff,Sergei Kravinoff,Bad,Marvel Comics,80,30,35,40,25,85,49
Kronos,Luke Castellan,,,,90,65,60,60,100,80,76
Kruncha,Kruncha,Kruncha,Good,,85,10,20,50,100,50,53
Krux,Krux,Krux,Bad,,90,50,90,90,100,100,87
Krypto,Krypto the Superdog,Krypto the Superdog,Good,DC Comics,55,80,100,90,80,40,74
Lady Deadpool,Wanda Wilson,Wanda Wilson,Neutral,Marvel Comics,50,15,60,100,100,100,71
Kurse (MCU),Algrim,,,Marvel Comics,65,100,55,95,100,95,85
Kurse,Algrim,,Bad,Marvel Comics,85,100,60,95,100,90,88
Kylo Ren,Ben Solo,Ben Solo,Bad,George Lucas,80,50,30,35,100,90,64
Lady Blackhawk,Zinda Blake,Zinda Blake,Good,DC Comics,90,10,25,35,30,90,47
Lady Bullseye,Maki Matsumotu,,Bad,Marvel Comics,90,10,20,45,40,90,49
Lady Shiva,Sandra Wu-San,,Neutral,DC Comics,90,10,35,30,40,100,51
Lagoon Boy,,,Good,DC Comics,75,50,40,80,100,50,66
Laira,Laira Omoto,,Neutral,DC Comics,70,95,85,80,100,95,88
Lance Hunter (MCU),Lance Hunter,Amadeus Ravenclaw Lance Hunter,Good,Marvel Comics,85,15,40,35,35,85,49
Lantern Bleez,,,Neutral,DC Comics,70,90,60,50,100,70,73
Lar Gand,Mon-El,,Good,DC Comics,90,100,95,95,100,80,93
Lashina,,,Bad,DC Comics,95,100,95,100,100,100,98
Laufey (MCU),Laufey,,Bad,Marvel Comics,80,30,60,80,70,75,66
Laufey,Laufey,,Bad,Marvel Comics,90,10,35,60,70,50,53
Lauren Strucker (Fox),Lauren Strucker,Lauren Strucker,Good,Marvel Comics,75,10,20,15,85,55,43
Leader,Samuel Sterns,Samuel Sterns,Bad,Marvel Comics,100,10,10,15,60,40,39
Leech,,,Good,Marvel Comics,65,5,10,15,60,15,28
Legion,David Haller,David Charles Haller,Good,Marvel Comics,75,100,40,30,100,75,70
Legolas,Legolas Of Mirkwood,,Good,J. R. R. Tolkien,90,20,30,60,100,100,67
Leo Fitz (MCU),Leopold Fitz,Leopold James Fitz,Good,Marvel Comics,100,10,25,25,20,80,43
Leo Valdez,Leo Valdez,,Good,,100,40,75,95,85,100,83
Leonardo (TMNT 2012),Leonardo,Leonardo,Good,,90,10,35,50,55,100,57
Lex Luthor (DCEU),Alexander Joseph Luthor,"Alexander Joseph Luthor, Jr.",Bad,DC Comics,100,10,15,20,20,50,36
Lex Luthor (Injustice),Alexander Luthor,Alexander Lex Luthor,Bad,DC Comics,100,55,25,65,90,70,68
Lex Luthor,Lex Luthor,Alexander 'Lex' Joseph Luthor,Bad,DC Comics,100,55,25,65,70,70,64
Lightspeed,Julie Power,,Good,Marvel Comics,90,10,100,55,80,100,73
Life Entity,The Life Entity,,Good,DC Comics,100,100,100,100,100,100,100
Light Lass,Ayla Ranzz,Ayla Ranzz,Good,DC Comics,70,10,35,30,65,40,42
Lightning Lad,Garth Ranzz,Garth Ranzz,Good,DC Comics,70,10,25,30,60,40,39
Lightning Lord,Mekt Ranzz,Mekt Ranzz,Bad,DC Comics,75,10,25,40,65,40,43
Lightray,Solis,,Good,DC Comics,95,85,100,90,100,80,92
Link,Link,Link,Good,Nintendo,100,80,75,75,100,100,88
Little Epic,Eilliott Kipp,Eilliott Kipp,Good,Team Epic TV,0,0,0,0,0,0,0
Little Krishna,Krishna,Krishna,Good,,100,100,100,100,100,100,100
Littlefinger,Petyr Baelish,,Neutral,George R. R. Martin,85,5,20,15,5,15,24
Livewire (CW),Leslie Willis,Leslie Willis,Neutral,,75,10,70,60,80,65,60
Livewire,Leslie Willis,Leslie Willis,Good,DC Comics,85,60,90,95,70,85,81
Living Brain,,,Bad,Marvel Comics,90,55,35,55,30,30,49
Living Totem,,,,Marvel Comics,95,100,75,100,70,65,84
Living Tribunal,,,Neutral,Marvel Comics,100,100,100,100,100,100,100
Liz Sherman,Elizabeth Anne Sherman,Elizabeth Anne Sherman,Good,Dark Horse Comics,70,10,35,30,50,75,45
Lizard,Curtis Connors,Curtis Connors,Bad,Marvel Comics,75,50,60,70,75,55,64
Lloyd (The LEGO Ninjago Movie),Lloyd Garmadon,Lloyd Garmadon,Good,Lego,85,10,70,40,70,100,63
Lloyd,Lloyd Garmadon,Lloyd Montgomery Garmadon.,Good,,100,30,60,75,100,100,78
Lobo,Lobo,,Neutral,DC Comics,95,100,55,100,100,85,89
Lockjaw,Lockjaw,Lockjaw,Good,Marvel Comics,70,30,90,50,60,30,55
Lodestone,Unknown,Unknown,Bad,Marvel Comics,0,0,0,0,0,0,0
Longshot,,,Good,Marvel Comics,75,10,25,10,70,70,43
Lord Garmadon,Garmadon,Garmadon,Neutral,,75,65,60,70,100,65,73
Lord Of Cinder,Gwyn,,,Namco,85,60,50,75,100,80,75
Lord Voldemort,Tom Riddle,Tom Marvolo Riddle,Bad,J. K. Rowling,100,5,15,15,100,85,53
Lorelei,Lorelei,,Bad,Marvel Comics,90,30,40,55,100,100,69
Lucifer (FOX),Samael,Lucifer Morningstar,Neutral,DC Comics,100,80,75,100,100,90,91
Lucius Malfoy,,,Bad,J. K. Rowling,90,10,20,20,100,85,54
Luke Cage,Luke Cage,Luke Cage,Good,Marvel Comics,75,65,30,95,45,70,63
Luke Campbell,Luke Campbell,Luke Campbell,Bad,NBC - Heroes,0,0,0,0,0,0,0
Luke Skywalker,Luke Skywalker,Luke Skywalker,Good,George Lucas,85,40,40,25,100,100,65
Luna,Luna Maximoff,Luna Maximoff,Good,Marvel Comics,70,5,85,15,55,15,41
Lyja,Lyja,Lyja,Good,Marvel Comics,0,0,0,0,15,0,3
M,Monet Yvette Clarisse Maria Therese St. Croix,Monet Yvette Clarisse Maria Therese St. Croix,Good,Marvel Comics,0,0,0,0,0,0,0
Mach-IV,Abner Jenkins,Abner Jenkins,Bad,Marvel Comics,90,35,60,85,60,55,64
Mad Harriet,,,Bad,DC Comics,95,100,95,100,100,100,98
Madame Xanadu,Nimue Inwudu,,Good,DC Comics,100,10,20,50,100,80,60
Madara Uchiha,Uchiha Madara,Uchiha Madara,Bad,Shueisha,90,100,100,100,100,100,98
Maestro Hulk,Bruce Banner,,Bad,Marvel Comics,100,100,85,100,100,85,95
Magneto (FOX),Erik Lehnsherr,,,Marvel Comics,90,35,60,80,85,70,70
Magneto,Erik Magnus Lensherr,Erik Magnus Lensherr,Bad,Marvel Comics,95,80,25,85,90,80,76
Magog,David Reid,David Reid,Good,DC Comics,75,50,25,65,65,70,58
Magus,,,Bad,Marvel Comics,95,100,70,100,100,75,90
Makkari,Makkari,Makkari,Good,Marvel Comics,75,65,100,85,100,80,84
Malekith (MCU),Malekith,,Bad,Marvel Comics,100,55,85,95,100,95,88
Malekith,Malekith,Malekith,Bad,Marvel Comics,95,85,50,80,100,50,77
Nergal,,,Bad,DC Comics,90,20,50,100,100,70,72
Mammoth,Baran Flinders,,Bad,DC Comics,80,60,75,70,40,40,61
Man-Bat,Robert Kirkland Langstrom,Robert Kirkland Langstrom,Neutral,DC Comics,70,20,50,70,35,30,46
Man Of Miracles,Mother Of Existence,Mother Of Existence,Neutral,Image Comics,100,100,100,100,100,100,100
Man-Thing,Dr. Theodore Sallis ,Dr. Theodore Sallis ,Good,Marvel Comics,75,30,10,100,100,40,59
Man-Wolf,John Jameson,John Jameson,Good,Marvel Comics,80,45,35,40,45,70,53
Master Chen,Chen,Chen,Bad,,100,10,20,15,65,20,38
Mandarin,Khan,Khan,Bad,Marvel Comics,100,30,25,30,100,95,63
Mantis (MCU),Mantis,,Good,Marvel Comics,75,15,40,35,55,70,48
Mantis,Mantis,,Bad,DC Comics,85,100,50,70,100,60,78
Maria Hill (MCU),Maria Hill,,Good,Marvel Comics,90,20,20,25,25,70,42
Mario,Mario Mario,Mario Mario,Good,Nintendo,75,100,100,100,100,55,88
Marrow,Sarah,Sarah,Good,Marvel Comics,0,0,0,0,0,0,0
Martian Manhunter,J'onn J'onzz,J'onn J'onzz,Good,DC Comics,100,95,90,100,100,85,95
Martinex,Martinex T'Naga,Martinex T'Naga,Good,Marvel Comics,0,0,0,0,0,0,0
Marvel Girl,Rachel Anne Summers,Rachel Anne Summers,Good,Marvel Comics,80,85,45,40,100,80,72
Master Brood,Currently Colin Wood,Currently Colin Wood,Good,Team Epic TV,0,0,0,0,60,0,10
Master Chief,John-117,John-117,Good,Microsoft,90,75,35,80,70,100,75
Master Hand,Master Hand,Master Hand,Bad,Nintendo,75,100,100,100,100,75,92
Match,Kent Connor,Kent Connor,Bad,DC Comics,90,95,85,85,100,70,88
Matt Parkman,Matthew Parkman,Matthew Parkman,Good,NBC - Heroes,80,10,10,15,60,55,38
Maui,Maui,,Good,Disney,80,100,40,100,100,40,77
Maverick,Christopher Bradley ,Christopher Bradley ,Good,Marvel Comics,80,10,10,40,60,85,48
Maxima,,,Bad,DC Comics,90,90,35,55,85,75,72
Maximus (MCU),Maximus Boltagon,Maximus Boltagon,Bad,Marvel Comics,95,10,20,20,15,75,39
Maxwell Lord,,Maxwell Lord IV,Bad,DC Comics,100,10,20,50,85,75,57
Maya Herrera,Maya Herrera,Maya Herrera,Good,NBC - Heroes,75,10,10,15,60,15,31
M'baku (MCU),M'Baku,M'Baku,Good,Marvel Comics,75,15,30,40,40,85,48
Medusa (MCU),Medusalith Amaquelin,Medusalith Amaquelin,Good,Marvel Comics,85,20,30,50,50,85,53
Melinda May (MCU),Melinda May,,Good,Marvel Comics,100,10,20,20,20,100,45
Meltdown,Tabitha Smith ,Tabitha Smith ,Good,Marvel Comics,70,10,10,40,60,65,43
Mephisto,Mephistopheles,,Bad,Marvel Comics,100,100,100,100,100,45,91
Might Guy,Might Guy,,Good,Shueisha,80,100,80,95,85,100,90
Mera (New 52),Mera,,Good,DC Comics,95,90,90,90,100,100,94
Mera,Mera,,Good,DC Comics,80,60,80,60,90,80,75
Mercy Graves,Mercedes Graves,,Bad,DC Comics,95,10,35,50,45,95,55
Merlin,Myrddin Emrys,,Good,DC Comics,95,10,20,100,100,60,64
Metallo,John Corben,John Corben,Bad,DC Comics,90,55,25,95,85,65,69
Mockingbird (MCU),Barbara Morse,Barbara Morse,Good,Marvel Comics,100,10,55,55,50,100,62
Metamorpho,Rex Mason,Rex Mason,Good,DC Comics,75,85,80,100,100,85,88
Metron,Metron,Metron,Good,DC Comics,95,10,45,55,100,30,56
Micah Sanders,Micah Sanders,Micah Sanders,Good,NBC - Heroes,80,10,10,15,55,15,31
Michael Demiurgos,Michael Demiurgos,Michael Demiurgos,Neutral,DC Comics,100,100,100,100,100,100,100
Micro Lad,Gim Allon,Gim Allon,Good,DC Comics,70,30,25,30,45,30,38
Nite Owl,Hollis Mason,Hollis Mason,Good,DC Comics,85,25,35,45,45,90,54
Mimic,Calvin Montgomery Rankin,Calvin Montgomery Rankin,Good,Marvel Comics,80,65,45,55,80,40,61
Minato Namikaze,,,Good,Shueisha,100,15,100,70,100,100,81
Mind Flayer,Mind Flayer,Mind Flayer,Bad,,100,100,100,100,100,70,95
Minna Murray,Wilhelmina Harker,Wilhelmina Harker,Good,Wildstorm,0,0,0,0,55,0,9
Mirage,Danielle Moonstar,Danielle Moonstar,Good,Marvel Comics,0,0,0,0,0,0,0
Mirror Master (CW),Sam Scudder,Samuel Scudder,Bad,DC Comics,70,15,25,35,55,75,46
Misako,Koko,Misako,Good,,90,0,20,20,25,50,34
Misfit,Charlotte Gage-Radcliffe,Charlotte Gage-Radcliffe,Good,DC Comics,80,30,25,80,90,40,58
Miss Martian,M'gann M'orzz,M'gann M'orzz,Good,DC Comics,80,85,60,100,100,45,78
Mistake,Mistake,Mistake,Good,,100,40,35,60,100,65,67
Mister Fantastic (FOX),Reed Richards,Reed Richards,Good,Marvel Comics,100,20,35,55,80,65,59
Mister Fantastic,Reed Richards,Reed Richards,Good,Marvel Comics,100,10,25,85,40,65,54
Mister Freeze,Victor Fries,Victor Fries,Bad,DC Comics,90,30,10,70,40,30,45
Mister Miracle,Scott Free,,Good,DC Comics,95,85,90,85,100,80,89
Monica Dawson,Monica Dawson,Monica Dawson,Good,NBC - Heroes,75,10,35,15,50,90,46
Mister Mxyzptlk,Mr. Mxyzptlk,Mr. Mxyzptlk,Bad,DC Comics,100,100,100,100,100,50,92
Mister Sinister,Nathaniel Essex,Dr. Nathaniel Essex,Bad,Marvel Comics,100,50,45,90,100,50,73
Mister Terrific (CW),Curtis Holt,Curtis Holt,Good,DC Comics,100,15,40,35,50,80,53
Misty Knight (MCU),Mercedes Kelly,Mercedes Kelly Knight,Good,Marvel Comics,90,30,35,35,50,90,55
Misty Knight,Mercedes 'Misty' Knight,Mercedes 'Misty' Knight,Good,Marvel Comics,75,60,25,45,65,75,58
Mockingbird,Barbara Morse,Barbara Morse,Good,Marvel Comics,90,30,40,20,50,95,54
MODOK,George Tarleton,,Bad,Marvel Comics,100,20,25,25,80,15,44
Mogo,Mogo,Mogo,Good,DC Comics,100,100,75,100,100,65,90
Mohinder Suresh,Mohinder Suresh,Mohinder Suresh,Good,NBC - Heroes,0,0,0,0,0,0,0
Moloch,Edgar William Jacobi,Edgar William Jacobi,Bad,DC Comics,0,0,0,0,0,0,0
Molten Man,Mark Raxton,Mark Raxton,Bad,Marvel Comics,75,75,25,85,55,55,62
Mon-El (CW),Mon-El,,Good,DC Comics,100,65,100,100,65,85,86
Monarch,Nathaniel Christopher Adam,Nathaniel Christopher Adam,Good,DC Comics,95,100,95,100,100,100,98
Mongul The Elder,Mongul,,Bad,DC Comics,90,100,60,100,100,100,92
Mongul,Mongul II,,Bad,DC Comics,90,100,70,100,100,95,93
Monstrox,Monstrox,Monstrox,Bad,,100,100,75,100,100,75,92
Moon Knight,Marc Spector,Marc Spector ,Good,Marvel Comics,75,35,25,40,30,75,47
Moonstone,Karla Sofen,Dr. Karla Sofen,Bad,Marvel Comics,80,65,45,50,85,80,68
